"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_BEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULT_ATUAL_BEM_CANDIDATO";"HH_ULT_ATUAL_BEM_CANDIDATO"
"06/07/2026";"02:15:51";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AL";"AL";"ALAGOAS";20001605787;1;11;"Apartamento";"[REDACTED-BY-GOVFOLIO: free-text asset description, original contained a full street address + unit number + CEP — see docs/regimes/br/AUTHORITY.md personal_data_to_redact]";"86605,68";"13/05/2026";"16:24:08"
"06/07/2026";"02:15:51";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AL";"AL";"ALAGOAS";20001605787;2;13;"Terreno";"[REDACTED-BY-GOVFOLIO: free-text asset description, original contained a full street address — see docs/regimes/br/AUTHORITY.md personal_data_to_redact]";"9000,00";"13/05/2026";"16:24:08"
"06/07/2026";"02:15:51";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AL";"AL";"ALAGOAS";20001605787;3;16;"Construção";"[REDACTED-BY-GOVFOLIO: free-text asset description, original contained a full street address + CEP — see docs/regimes/br/AUTHORITY.md personal_data_to_redact]";"142517,40";"13/05/2026";"16:24:08"
"06/07/2026";"02:15:51";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AL";"AL";"ALAGOAS";20001605787;4;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"[REDACTED-BY-GOVFOLIO: free-text asset description, original contained a vehicle license plate — see docs/regimes/br/AUTHORITY.md personal_data_to_redact]";"95798,82";"13/05/2026";"16:24:08"
"06/07/2026";"02:15:51";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AL";"AL";"ALAGOAS";20001605787;5;26;"Linha telefônica";"[REDACTED-BY-GOVFOLIO: free-text asset description, original contained a phone number — see docs/regimes/br/AUTHORITY.md personal_data_to_redact]";"1529,39";"13/05/2026";"16:24:08"
"06/07/2026";"02:15:51";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AL";"AL";"ALAGOAS";20001605787;6;41;"Caderneta de poupança";"Poupança da Caixa Econômica Federal, em 31/12/2021-Declaração do IRPF do Exercício 2022-Ano-Calendário 2021.  ";"38273,28";"13/05/2026";"16:24:08"
"06/07/2026";"02:15:51";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AL";"AL";"ALAGOAS";20001605787;7;41;"Caderneta de poupança";"Poupança-Ouro do Banco do Brasil S/A, em 31/12/2021-Declaração do IRPF do Exercício 2022-Ano-Calendário 2021.  ";"2520,77";"13/05/2026";"16:24:08"
"06/07/2026";"02:15:51";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AL";"AL";"ALAGOAS";20001605787;8;45;"Aplicação de renda fixa (CDB, RDB e outros)";"BB CDB DI, em 31/12/2021-Declaração do IRPF do Exercício 2022-Ano-Calendário 2021.  ";"7000,00";"13/05/2026";"16:24:08"
"06/07/2026";"02:15:51";2022;2;"Eleição Ordinária";546;"Eleições Gerais Estaduais 2022";"02/10/2022";"AL";"AL";"ALAGOAS";20001605787;9;61;"Depósito bancário em conta corrente no País";"Conta corrente da Caixa Econômica Federal, em 31/12/2021-Declaração do IRPF do Exercício 2022-Ano-Calendário 2021.  ";"46,29";"13/05/2026";"16:24:08"
